"","businessID","zip","businessName","city","lat","long","averageReviewBusiness","reviewCountBusiness","isOpen","percAsian","percBlack","percWhite","percHispanic","percNHW","zipPopulation","zipYouthPopulation","medianIncome","percBachelors","avgReviewStars","avgUserPastReview","avgDaysSinceJoined","sumUsefulRev","sumFunny","sumCool","sumUserReviews","sumUsefulUser","sumFunnyUser","sumCoolUser","sumFans","sumHotComp","sumMoreComp","sumProfileComp","sumCuteComp","sumListComp","sumNoteComp","sumPlainComp","sumCoolComp","sumFunnyComp","sumWriterComp","sumPhotoComp"
"1","--g-a85VwrdZJNf0R95GcQ",85032,"""""""""""""""""Kabab House""""""""""""""""","Phoenix",33.6413,-112.0064,4.5,24,0,3.4399,3.1957,76.1142,26.604,61.6534,72880,9.2508,63344,19.8277,4.66666666666667,4.36333333333333,639.666666666667,3,0,1,47,31,4,1,2,0,0,0,0,0,1,0,1,1,0,0
"2","-_5dPMqd2-dZh8xSSmw3Ag",85301,"""""""""""""""""Panda Express""""""""""""""""","Glendale",33.5227,-112.1521,2.5,19,1,2.1697,8.8787,47.7735,61.957,19.9377,66091,11.5931,34365,5.4694,2,3.51,1256,0,1,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","-_hk47bgWLbX0SfvBUkoPQ",85051,"""""""""""""""""Souper Salad""""""""""""""""","Phoenix",33.57642,-112.118,3,69,1,4.627,7.0732,59.2196,40.5432,40.2606,46358,10.4923,47863,11.1103,2.75,3.69,978,8,2,4,938,18170,17475,17605,91,321,28,16,1,5,170,932,636,636,123,18
"4","-_v2it0tjfDriFqN-FGpIg",85374,"""""""""""""""""Sonic Drive-In""""""""""""""""","Surprise",33.63823,-112.3928,3,27,1,1.9754,4.4396,82.343,16.1749,73.9526,44396,5.3586,66283,18.1995,3.33333333333333,3.69666666666667,410.666666666667,1,1,1,250,218,119,160,11,6,3,0,1,0,18,22,14,14,4,1
"5","-_yAaFHx0e1ZqmuHTtqnFA",85379,"""""""""""""""""Nick & Ben's Pizza Company""""""""""""""""","Surprise",33.61131,-112.3598,4,92,1,4.5839,7.1807,72.4547,21.1119,61.5683,45093,7.1075,87130,16.9518,4.35714285714286,3.85857142857143,1104,16,2,7,274,288,39,66,6,0,1,0,0,0,3,16,1,1,2,0
"6","-01XupAWZEXbdNbxNg5mEg",85260,"""""""""""""""""18 Degrees Neighborhood Grill""""""""""""""""","Scottsdale",33.63921,-111.8819,3,77,1,6.4001,1.8788,87.0708,6.2155,82.5393,39546,6.7263,97408,35.9967,2.66666666666667,3.45833333333333,1078,4,1,1,1154,2538,1456,443,31,12,2,4,0,1,26,50,44,44,12,2
"7","-050d_XIor1NpCuWkbIVaQ",85004,"""""""""""""""""Matt's Big Breakfast""""""""""""""""","Phoenix",33.4567,-112.0723,4,700,0,2.4009,11.5211,61.1505,34.3055,45.0854,6206,26.5549,38311,17.3162,4.09523809523809,3.81714285714286,459.301587301587,101,42,46,10835,17762,11631,16310,868,3426,314,218,170,135,1080,2860,3640,3640,1308,268
"8","-092wE7j5HZOogMLAh40zA",85345,"""""""""""""""""Wong's Jr""""""""""""""""","Peoria",33.58199,-112.2369,3.5,83,1,2.8422,5.1802,69.0873,33.7789,52.0069,58125,9.8443,60493,9.3273,4.125,3.6425,671.25,6,0,2,300,235,21,26,6,0,0,0,0,0,13,7,4,4,5,2
"9","-0aIra_B6iALlfqAriBSYA",85054,"""""""""""""""""Tea2go""""""""""""""""","Phoenix",33.67549,-111.9649,4.5,32,1,5.9704,3.3546,84.9241,7.528,79.6126,5008,8.3067,89699,35.332,5,3.95,1511.5,6,3,4,449,257,153,160,137,155,11,2,5,0,99,87,218,218,82,62
"10","-0Sgh0QlUKVsWosCWJzGqQ",85281,"""""""""""""""""Domino's Pizza""""""""""""""""","Tempe",33.41435,-111.929,2,44,1,8.0623,6.266,64.565,25.9971,51.8617,64188,42.7354,38964,22.7954,1,3.07,553,5,4,0,290,29,7,6,25,26,4,2,2,1,29,14,62,62,32,14
"11","-0tgMGl7D9B10YjSN2ujLA",85032,"""""""""""""""""Dubliner""""""""""""""""","Phoenix",33.61113,-111.9985,3.5,120,1,3.4399,3.1957,76.1142,26.604,61.6534,72880,9.2508,63344,19.8277,2.88888888888889,3.60444444444444,889,12,8,4,2463,1400,478,1546,140,286,23,14,10,8,207,464,444,444,106,86
"12","-0WegMt6Cy966qlDKhu6jA",85034,"""""""""""""""""Game Seven Grill""""""""""""""""","Phoenix",33.4456,-112.0685,2,77,1,3.4009,12.0299,51.5471,57.1619,21.5524,7498,13.8704,32147,15.7438,1.875,3.37625,900,2,1,2,1116,272,182,110,83,115,11,5,5,1,120,108,275,275,70,14
"13","-17CAGmIRBHpPFlWBTDGuw",85281,"""""""""""""""""Papa John's Pizza""""""""""""""""","Tempe",33.43667,-111.9403,2.5,3,1,8.0623,6.266,64.565,25.9971,51.8617,64188,42.7354,38964,22.7954,5,3.67,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","-1UMR00eXtwaeh59pEiDjA",85034,"""""""""""""""""Matt's Big Breakfast""""""""""""""""","Phoenix",33.43693,-111.9966,3.5,325,1,3.4009,12.0299,51.5471,57.1619,21.5524,7498,13.8704,32147,15.7438,3.32352941176471,3.66617647058824,1355.61764705882,11,5,7,5306,7056,689,1500,253,182,46,20,8,1,138,190,299,299,182,64
"15","-1VaIJza42Hjev6ukacCNg",85335,"""""""""""""""""Rio Mirage Cafe Y Cantina""""""""""""""""","El Mirage",33.61744,-112.3243,4,176,1,2.1319,7.2506,57.3596,47.1938,37.1466,36259,9.3411,55024,10.1853,4.17647058823529,3.66529411764706,849.470588235294,8,0,3,831,364,41,40,16,4,3,0,0,0,29,14,16,16,7,3
"16","-2A9emZwBK8zYHPnAmM0hw",85282,"""""""""""""""""China Farm Chinese Buffet""""""""""""""""","Tempe",33.39469,-111.9778,2.5,9,0,5.0545,7.0025,68.5852,24.405,56.3583,55337,18.8373,60423,23.2782,2,3.8,685,1,0,0,140,845,260,146,7,4,2,3,0,0,4,3,3,3,5,0
"17","-2isRNVb6PDuBagELL5EBw",85029,"""""""""""""""""Taco Bell""""""""""""""""","Phoenix",33.58171,-112.1359,3,20,1,3.5385,5.4435,67.2694,32.3222,52.004,47506,11.1775,53359,12.5735,3,2.76666666666667,204.333333333333,1,0,0,246,105,34,17,4,46,3,0,1,0,31,12,28,28,1,3
"18","-34vSRcMz_RjN00dWIiQ3Q",85304,"""""""""""""""""Subway""""""""""""""""","Glendale",33.59634,-112.1666,3,14,1,4.3883,4.7011,76.5788,20.1325,65.6231,29738,10.1587,78185,17.0273,1,4.13,0,0,0,0,8,29,29,6,1,0,0,0,0,0,0,1,0,0,0,0
"19","-3oxnPPPU3YoxO9M1I2idg",85204,"""""""""""""""""Eklectic Pie - Mesa""""""""""""""""","Mesa",33.37991,-111.8063,4,127,0,2.0751,3.4308,64.8847,45.3499,42.7349,67418,11.5118,52719,11.7137,4.4,3.676,1050.6,4,1,1,301,42,12,2,4,0,0,0,0,0,2,4,0,0,0,0
"20","-4g68Hwm892_KPUuW5g1_Q",85282,"""""""""""""""""Jimmy John's""""""""""""""""","Tempe",33.39332,-111.9266,2.5,40,1,5.0545,7.0025,68.5852,24.405,56.3583,55337,18.8373,60423,23.2782,2.8,4.106,936.6,3,1,0,1902,20706,807,4075,140,166,16,8,7,16,123,141,197,197,53,47
"21","-4TMQnQJW1yd6NqGRDvAeA",85251,"""""""""""""""""The House Brasserie""""""""""""""""","Scottsdale",33.49336,-111.9312,4,353,1,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518,4.34146341463415,3.81609756097561,1117.19512195122,63,30,36,4822,21482,7198,14958,1478,4490,252,234,271,110,2375,9787,4780,4780,1149,1505
"22","-4w2eZqQJcS-UNuB1lCPFA",85233,"""""""""""""""""Subway""""""""""""""""","Gilbert",33.37799,-111.8066,3,4,1,7.9519,4.1452,74.8702,18.2646,64.5963,43713,9.4091,95647,24.3032,5,4.42,261,1,0,1,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
