Name,FIPS,"% Asian Population, 2017","% Black Population, 2017","% White Population, 2017","% Hispanic Population, 2017","% White Non-Hispanic Population, 2017","# Population, 2017","% Population, 18 to 24 Years, 2017","Median Household Income, 2017","% Education Attainment, Bachelor's Degree, 2017"
"85225, Chandler, AZ",85225,5.6195,6.0246,62.3873,38.7603,43.2243,75291,10.5444,70098,18.1929
"85032, Phoenix, AZ",85032,3.4399,3.1957,76.1142,26.604,61.6534,72880,9.2508,63344,19.8277
"85308, Glendale, AZ",85308,5.5721,2.8961,82.8933,12.1119,75.4883,72235,9.2047,89010,22.9104
"85204, Mesa, AZ",85204,2.0751,3.4308,64.8847,45.3499,42.7349,67418,11.5118,52719,11.7137
"85301, Glendale, AZ",85301,2.1697,8.8787,47.7735,61.957,19.9377,66091,11.5931,34365,5.4694
"85281, Tempe, AZ",85281,8.0623,6.266,64.565,25.9971,51.8617,64188,42.7354,38964,22.7954
"85008, Phoenix, AZ",85008,1.8581,9.8952,49.2499,62.2515,18.0736,62323,13.3402,38638,12.3757
"85033, Phoenix, AZ",85033,1.094,5.8587,49.0527,78.9184,7.5912,61703,12.1064,37956,4.6482
"85041, Phoenix, AZ",85041,3.1302,15.5004,41.0659,66.7488,8.7803,60476,10.9515,52895,11.3357
"85009, Phoenix, AZ",85009,0.6635,5.8881,42.0666,80.7127,6.6181,60138,15.955,30235,3.6216
"85345, Peoria, AZ",85345,2.8422,5.1802,69.0873,33.7789,52.0069,58125,9.8443,60493,9.3273
"85142, Queen Creek, AZ",85142,3.3752,4.1994,79.9879,20.2565,68.403,56056,6.7772,95392,21.6725
"85282, Tempe, AZ",85282,5.0545,7.0025,68.5852,24.405,56.3583,55337,18.8373,60423,23.2782
"85234, Gilbert, AZ",85234,5.0107,3.1823,80.8642,15.7473,71.6822,54803,8.9721,94278,25.6054
"85326, Buckeye, AZ",85326,1.8287,7.2214,60.5105,43.354,41.4538,54574,9.0703,69328,9.6948
"85022, Phoenix, AZ",85022,3.6824,4.3558,78.6963,18.3966,68.8843,51977,9.8178,64850,19.6762
"85201, Mesa, AZ",85201,2.3786,6.0781,61.9724,39.608,41.8175,50871,12.746,43045,14.8867
"85035, Phoenix, AZ",85035,1.2448,6.1729,39.2224,83.4988,2.8436,50851,13.5278,38621,5.2572
"85254, Scottsdale, AZ",85254,5.9485,1.7196,87.2599,6.3632,82.948,50651,6.6593,112858,33.6723
"85283, Tempe, AZ",85283,5.5397,7.6821,61.112,27.1088,49.1961,49010,13.7564,66559,22.2188
"85224, Chandler, AZ",85224,7.5767,5.3383,70.5426,20.8198,58.8215,48161,10.4732,78419,24.1188
"85029, Phoenix, AZ",85029,3.5385,5.4435,67.2694,32.3222,52.004,47506,11.1775,53359,12.5735
"85207, Mesa, AZ",85207,2.2334,2.2524,85.331,14.8885,76.5558,47372,7.2807,89006,20.5737
"85051, Phoenix, AZ",85051,4.627,7.0732,59.2196,40.5432,40.2606,46358,10.4923,47863,11.1103
"85338, Goodyear, AZ",85338,3.4948,7.8028,65.6887,34.7988,48.1609,46355,8.532,85311,18.9178
"85042, Phoenix, AZ",85042,2.9977,18.3934,43.4418,55.9987,16.7759,45935,10.9176,60827,13.87
"85037, Phoenix, AZ",85037,3.2875,8.4736,47.6693,65.4068,16.2918,45931,11.809,54560,8.9835
"85379, Surprise, AZ",85379,4.5839,7.1807,72.4547,21.1119,61.5683,45093,7.1075,87130,16.9518
"85374, Surprise, AZ",85374,1.9754,4.4396,82.343,16.1749,73.9526,44396,5.3586,66283,18.1995
"85205, Mesa, AZ",85205,1.8875,2.8945,84.5183,13.9645,77.2482,44291,7.2046,59720,16.1157
"85382, Peoria, AZ",85382,3.8377,2.9447,85.3809,11.4585,78.2713,44011,7.6208,82325,20.6839
"85233, Gilbert, AZ",85233,7.9519,4.1452,74.8702,18.2646,64.5963,43713,9.4091,95647,24.3032
"85323, Avondale, AZ",85323,3.4655,11.1973,48.4755,58.8398,20.4501,43457,12.6861,59884,11.3963
"85202, Mesa, AZ",85202,4.4932,7.7138,63.4044,28.7036,50.0127,43221,13.7549,51037,18.5896
"85017, Phoenix, AZ",85017,5.7515,7.3457,45.2047,65.9238,13.3945,42719,11.9081,34572,4.4446
"85295, Gilbert, AZ",85295,8.8122,4.4284,76.5658,15.4419,66.7011,42566,7.9077,108479,29.3281
"85249, Chandler, AZ",85249,10.2847,4.7838,76.6544,12.5461,68.3937,42539,4.5746,118845,29.6902
"85383, Peoria, AZ",85383,5.8405,2.6601,84.2449,10.1937,77.7447,42291,6.1573,124562,25.0845
"85255, Scottsdale, AZ",85255,5.0014,1.4558,90.0477,4.6037,86.6275,41488,3.7746,132366,34.6598
"85138, Maricopa, AZ",85138,4.5045,9.6737,67.6192,23.8908,54.0885,41225,6.5518,75391,18.3159
"85027, Phoenix, AZ",85027,7.1338,3.3218,75.6236,17.6526,66.7063,41212,10.924,65736,16.7629
"85209, Mesa, AZ",85209,3.4173,3.2074,82.4351,15.8368,73.4134,40968,6.6491,73281,19.4891
"85226, Chandler, AZ",85226,11.8318,4.9183,71.9407,15.2458,62.6413,40949,9.6828,94685,27.7347
"85302, Glendale, AZ",85302,4.7979,7.7594,66.1845,30.5965,50.8103,40789,11.0177,54897,13.3726
"85044, Phoenix, AZ",85044,5.8737,7.4165,75.0658,14.6657,66.2738,40639,8.6026,85331,28.3095
"85021, Phoenix, AZ",85021,4.1063,7.9683,61.8538,34.1806,45.4655,40523,11.2775,45778,17.5684
"85015, Phoenix, AZ",85015,5.8263,9.1838,54.7746,49.8988,26.1072,40506,10.633,38803,11.5432
"85296, Gilbert, AZ",85296,5.9923,4.0738,78.3406,16.2776,68.4415,40135,8.2621,103068,24.7709
"85339, Laveen, AZ",85339,8.2033,18.198,41.6903,40.455,22.3422,39911,8.5766,77806,16.6171
"85086, Phoenix, AZ",85086,3.0264,2.2014,87.9472,9.385,81.7742,39883,5.1225,99104,30.4385
"85286, Chandler, AZ",85286,14.3395,5.309,68.5625,16.9225,58.7195,39876,7.0594,104648,29.7289
"85260, Scottsdale, AZ",85260,6.4001,1.8788,87.0708,6.2155,82.5393,39546,6.7263,97408,35.9967
"85208, Mesa, AZ",85208,1.8389,2.463,81.685,19.1974,71.8867,39099,6.2303,54682,10.77
"85016, Phoenix, AZ",85016,3.3465,5.5353,67.1111,31.558,51.0091,38697,8.042,53950,23.5595
"85018, Phoenix, AZ",85018,2.5345,3.4371,79.8221,19.8288,68.9908,38666,6.7294,71919,28.8783
"85251, Scottsdale, AZ",85251,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518
"85203, Mesa, AZ",85203,1.7094,3.4685,71.1743,30.8707,56.1676,38143,10.2299,59533,15.3305
"85210, Mesa, AZ",85210,2.799,4.9734,56.9105,49.494,34.6318,37942,12.5323,46173,11.538
