Name,FIPS,"% Asian Population, 2017","% Black Population, 2017","% White Population, 2017","% Hispanic Population, 2017","% White Non-Hispanic Population, 2017","# Population, 2017","% Population, 18 to 24 Years, 2017","Median Household Income, 2017","% Education Attainment, Bachelor's Degree, 2017"
"89110, Las Vegas, NV",89110,6.6002,10.3468,40.9913,60.644,19.3802,81088,10.8228,52893,7.791
"89108, Las Vegas, NV",89108,5.3214,15.5941,46.8142,42.2907,32.424,78081,10.6761,50853,9.3616
"89121, Las Vegas, NV",89121,6.5235,10.5437,52.7061,38.259,40.153,73703,9.5451,47843,11.2929
"89031, North Las Vegas, NV",89031,9.0122,20.715,45.9772,29.6101,35.3279,69206,9.018,79128,11.5893
"89115, Las Vegas, NV",89115,4.0348,20.0696,32.5237,57.0073,15.7204,68058,13.3357,40971,5.0865
"89123, Las Vegas, NV",89123,15.0791,7.8874,60.7321,19.5655,52.2488,62099,9.0114,77819,21.5527
"89117, Las Vegas, NV",89117,15.9594,10.5084,60.1723,15.8787,52.957,60704,8.5662,72513,20.0373
"89129, Las Vegas, NV",89129,9.5137,11.2477,66.5957,16.6996,57.7665,57265,8.2546,83073,17.4107
"89030, North Las Vegas, NV",89030,1.7643,18.0195,31.5785,71.2668,7.2419,56339,10.5362,35101,4.009
"89052, Henderson, NV",89052,14.6123,5.5651,68.7478,12.7644,62.2748,56172,5.7075,95784,26.6961
"89103, Las Vegas, NV",89103,15.2361,13.1577,47.0471,34.2758,33.9022,54607,9.7002,47153,13.7561
"89147, Las Vegas, NV",89147,21.1288,10.3145,52.4689,21.4977,42.8369,54215,9.0215,68883,17.4768
"89119, Las Vegas, NV",89119,10.7798,13.1483,43.7286,42.2816,29.8606,52524,13.0797,44155,11.6115
"89074, Henderson, NV",89074,9.9029,6.756,70.0874,15.4358,62.3937,51510,8.5886,85425,21.6822
"89101, Las Vegas, NV",89101,4.4049,14.1158,37.6751,62.8701,16.3502,48605,11.3815,29555,5.1274
"89131, Las Vegas, NV",89131,7.079,10.3468,69.9772,14.7522,62.6391,47464,6.7103,105882,19.8717
"89032, North Las Vegas, NV",89032,7.9928,29.6676,34.6948,36.7455,21.9041,46667,9.6535,63867,9.4031
"89148, Las Vegas, NV",89148,26.7529,9.448,48.1396,17.7329,40.1833,46253,8.7562,77845,23.8959
"89122, Las Vegas, NV",89122,12.5076,11.0888,49.0062,36.5792,35.6399,45884,9.184,56887,11.197
"89104, Las Vegas, NV",89104,7.0175,8.3784,46.3412,56.1538,25.5636,43648,9.7141,43558,7.6004
"89015, Henderson, NV",89015,4.659,6.7174,72.4663,19.6287,63.9182,42606,8.642,67720,8.9976
"89107, Las Vegas, NV",89107,5.5597,8.2658,51.2176,49.1064,32.9472,41351,10.0215,54665,8.3057
"89014, Henderson, NV",89014,9.1828,8.9429,64.74,21.3964,54.9525,40848,10.8965,68447,17.7079
"89128, Las Vegas, NV",89128,9.7805,14.5667,57.0551,21.9742,48.303,39865,8.4636,67681,15.2492
"89102, Las Vegas, NV",89102,9.1501,9.4286,40.9241,53.4713,24.6779,38415,9.3896,38463,10.1716
"89183, Las Vegas, NV",89183,19.8938,8.7871,51.4017,22.4123,42.3688,38238,10.0607,75948,20.9855
"89149, Las Vegas, NV",89149,8.4949,10.4678,69.1606,14.9721,61.1259,35633,8.4388,90622,18.9949
"89142, Las Vegas, NV",89142,12.513,10.3104,40.5394,49.566,23.5511,35595,11.1785,62568,11.606
